City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lihue,21.9789,-159.3672,29.58,74,40,5.14,US,1696027976
1,chibougamau,49.9168,-74.3659,18.79,52,0,3.09,CA,1696028003
2,port-aux-francais,-49.35,70.2167,1.0,71,10,18.77,TF,1696027956
3,bereeda,11.8704,51.0579,27.09,71,15,1.59,SO,1696028514
4,port alfred,-33.5906,26.891,16.77,83,89,3.1,ZA,1696027970
5,moyale,3.5167,39.0584,19.84,86,20,3.68,KE,1696028514
6,fale old settlement,-9.3852,-171.2468,28.72,71,42,5.53,TK,1696027980
7,olonkinbyen,70.9221,-8.7187,2.44,83,100,6.62,SJ,1696027959
8,thompson,55.7435,-97.8558,13.09,71,75,2.06,CA,1696027964
9,remire-montjoly,4.9167,-52.2667,28.02,78,0,2.57,GF,1696028038
10,george town,5.4112,100.3354,27.75,95,20,1.03,MY,1696028514
11,talara,-4.5772,-81.2719,24.42,69,0,5.53,PE,1696028245
12,ad dilam,23.9915,47.1627,30.23,13,0,3.17,SA,1696028515
13,puerto eldorado,-26.4084,-54.6946,20.03,79,72,0.29,AR,1696028515
14,waitangi,-43.9535,-176.5597,12.12,83,100,2.68,NZ,1696027961
15,barranca,-10.75,-77.7667,18.93,84,66,4.19,PE,1696028027
16,la ronge,55.1001,-105.2842,12.14,76,100,1.03,CA,1696028002
17,badger,64.8,-147.5333,6.1,55,75,0.0,US,1696027980
18,newman,37.3138,-121.0208,29.13,43,8,2.24,US,1696028006
19,castillos,-34.1667,-53.8333,13.14,95,92,1.39,UY,1696027993
20,margaret river,-33.95,115.0667,14.27,78,59,7.74,AU,1696028003
21,bilibino,68.0546,166.4372,-4.71,90,99,2.38,RU,1696027969
22,port elizabeth,-33.918,25.5701,16.17,78,0,2.06,ZA,1696027763
23,nova sintra,14.8667,-24.7167,24.92,80,99,2.24,CV,1696027969
24,enewetak,11.3474,162.3373,28.9,76,86,6.09,MH,1696027956
25,klyuchi,52.2667,79.1667,10.13,72,53,1.4,RU,1696027971
26,edinburgh of the seven seas,-37.0676,-12.3116,10.58,85,100,15.26,SH,1696027960
27,adamstown,-25.066,-130.1015,20.63,83,23,10.3,PN,1696027959
28,papatowai,-46.5619,169.4708,6.71,73,97,8.59,NZ,1696027966
29,coahuayana de hidalgo,18.7,-103.6583,30.18,77,93,1.88,MX,1696028516
30,leava,-14.3,-178.1667,26.91,76,92,7.59,WF,1696028516
31,geraldton,-28.7667,114.6,11.23,87,75,4.12,AU,1696028001
32,bikenibeu village,1.3673,173.1241,29.98,70,75,2.06,KI,1696027976
33,avarua,-21.2078,-159.775,26.03,83,75,5.14,CK,1696027975
34,iqaluit,63.7506,-68.5145,1.85,87,100,7.2,CA,1696027966
35,talnakh,69.4865,88.3972,-3.77,85,99,5.5,RU,1696027983
36,puerto ayora,-0.7393,-90.3518,26.98,90,45,2.68,EC,1696027985
37,yellowknife,62.456,-114.3525,7.45,68,75,2.57,CA,1696027963
38,constantia,44.1833,28.65,18.38,67,12,7.48,RO,1696027966
39,yulinshi,38.2906,109.7494,11.05,37,0,1.6,CN,1696028517
40,puerto natales,-51.7236,-72.4875,5.76,82,100,1.37,CL,1696027971
41,tiksi,71.6872,128.8694,-1.6,84,100,6.5,RU,1696027970
42,el granada,37.5027,-122.4694,23.49,84,100,8.23,US,1696028330
43,pangody,65.85,74.4859,-1.01,94,23,5.33,RU,1696028134
44,ust-nera,64.5667,143.2,-3.15,77,16,1.57,RU,1696028000
45,susuman,62.7833,148.1667,-3.21,75,62,1.94,RU,1696027968
46,carnarvon,-24.8667,113.6333,18.82,72,2,10.16,AU,1696028036
47,kunashak,55.7032,61.5498,10.84,95,100,2.23,RU,1696028517
48,turuntayevo,52.2,107.6167,-0.95,91,1,0.61,RU,1696028517
49,kingston,17.997,-76.7936,30.53,94,20,7.2,JM,1696027858
50,grytviken,-54.2811,-36.5092,-1.15,88,18,3.86,GS,1696027960
51,hanceville,34.0607,-86.7675,26.61,48,23,2.89,US,1696028518
52,ribeira grande,38.5167,-28.7,19.87,93,100,1.79,PT,1696027961
53,lebu,-37.6167,-73.65,11.22,86,0,5.34,CL,1696027944
54,sil-li,39.4947,125.4736,15.92,76,45,2.79,KP,1696028518
55,vytegra,61.0064,36.4481,13.94,84,100,3.18,RU,1696028519
56,coquimbo,-29.9533,-71.3436,13.85,88,75,5.14,CL,1696028009
57,nuuk,64.1835,-51.7216,2.34,93,75,5.66,GL,1696028007
58,ilulissat,69.2167,-51.1,0.01,86,100,0.0,GL,1696027968
59,kodiak,57.79,-152.4072,10.73,82,40,2.06,US,1696027942
60,blackmans bay,-43.0167,147.3167,14.74,71,93,1.75,AU,1696027958
61,bredasdorp,-34.5322,20.0403,14.4,80,83,5.9,ZA,1696027956
62,ushuaia,-54.8,-68.3,9.81,50,0,3.6,AR,1696028240
63,sitka,57.0531,-135.33,10.94,76,75,0.0,US,1696027962
64,mejit,10.2753,170.8646,28.25,79,99,6.78,MH,1696028129
65,hithadhoo,-0.6,73.0833,27.93,77,4,6.77,MV,1696028020
66,beswan,27.65,77.8833,25.06,47,28,1.12,IN,1696028520
67,port mathurin,-19.6833,63.4167,22.71,65,66,7.75,MU,1696027961
68,albany,42.6001,-73.9662,14.94,91,100,0.45,US,1696027787
69,yenangyaung,20.4667,94.8833,24.29,93,100,0.4,MM,1696028520
70,fortuna,40.5982,-124.1573,18.7,82,20,0.0,US,1696027964
71,bethel,41.3712,-73.414,13.93,90,100,3.6,US,1696027968
72,st. john's,47.5649,-52.7093,10.66,84,75,1.03,CA,1696027959
73,paragominas,-2.9667,-47.4833,29.27,36,71,1.59,BR,1696028453
74,hermanus,-34.4187,19.2345,15.7,79,90,9.34,ZA,1696027963
75,morristown,36.214,-83.2949,25.39,64,0,1.54,US,1696028462
76,suntar,62.1444,117.6319,5.98,83,93,2.31,RU,1696028156
77,illapel,-31.6308,-71.1653,16.49,65,8,1.42,CL,1696028171
78,usogorsk,63.4106,48.6872,9.68,91,100,2.63,RU,1696027957
79,kununurra,-15.7667,128.7333,25.99,73,40,2.06,AU,1696028039
80,grand gaube,-20.0064,57.6608,23.22,76,2,0.45,MU,1696028521
81,happy valley-goose bay,53.3168,-60.3315,15.17,58,75,0.0,CA,1696028041
82,isafjordur,66.0755,-23.124,3.63,86,100,2.54,IS,1696027956
83,den burg,53.0542,4.7972,17.21,72,75,5.14,NL,1696028522
84,ancud,-41.8697,-73.8203,8.56,78,0,0.84,CL,1696027978
85,invercargill,-46.4,168.35,7.79,77,80,8.49,NZ,1696027962
86,port-vila,-17.7338,168.3219,23.78,60,75,8.23,VU,1696028523
87,guerrero negro,27.9769,-114.0611,22.28,64,1,7.25,MX,1696027967
88,gadzhiyevo,69.2551,33.3362,10.09,94,100,4.86,RU,1696028017
89,saint stephens,35.7646,-81.2731,25.08,73,100,0.0,US,1696028523
90,dahme,51.8667,13.4333,20.56,77,100,5.13,DE,1696028523
91,callao,-12.0667,-77.15,22.07,77,20,4.12,PE,1696028024
92,zouerate,22.7187,-12.4521,32.31,17,7,5.0,MR,1696028023
93,ebaye,8.7748,167.7392,30.01,74,40,5.14,MH,1696028523
94,namdrik,5.5994,168.1028,28.15,77,100,7.54,MH,1696028524
95,bloemfontein,-29.1211,26.214,9.71,62,26,0.51,ZA,1696028007
96,necochea,-38.5473,-58.7368,8.38,82,100,5.67,AR,1696027957
97,wailua homesteads,22.0669,-159.378,29.24,74,40,5.14,US,1696027958
98,stanley,54.868,-1.6985,10.95,89,0,1.03,GB,1696027971
99,utrik,11.2278,169.8474,28.81,75,94,6.65,MH,1696027962
100,omarska,44.89,16.8992,10.66,77,0,1.07,BA,1696028524
101,west island,-12.1568,96.8225,24.99,78,75,5.66,CC,1696028005
102,beau vallon,-20.4189,57.6953,23.13,83,75,6.17,MU,1696028505
103,hasaki,35.7333,140.8333,25.22,78,41,7.13,JP,1696028007
104,daru,-9.0763,143.2092,25.63,81,85,7.94,PG,1696028341
105,rabo de peixe,37.8,-25.5833,22.73,99,40,6.17,PT,1696028524
106,ndungu,-4.3667,38.05,21.47,92,82,0.45,TZ,1696028525
107,pacific grove,36.6177,-121.9166,22.91,85,75,6.69,US,1696027706
108,norilsk,69.3535,88.2027,-3.65,90,99,5.0,RU,1696028136
109,govindgarh,27.5,76.9833,26.06,43,57,0.83,IN,1696028525
110,qaqortoq,60.7167,-46.0333,3.17,68,3,1.69,GL,1696027981
111,kataba,13.9833,44.3833,18.27,28,0,2.65,YE,1696028525
112,taungdwingyi,20.0167,95.55,23.18,95,100,1.03,MM,1696028525
113,chernyshevskiy,63.0128,112.4714,3.38,93,98,2.28,RU,1696028008
114,fort st. john,56.2499,-120.8529,8.94,87,75,1.54,CA,1696028021
115,bhum,18.4667,75.6667,22.66,91,99,2.09,IN,1696028526
116,beitbridge,-22.2167,30.0,24.34,60,75,2.53,ZW,1696028526
117,atafu village,-8.5421,-172.5159,28.69,71,26,4.29,TK,1696027987
118,minas de marcona,-15.2119,-75.1103,14.71,82,29,6.61,PE,1696027965
119,senador jose porfirio,-2.5908,-51.9542,30.79,44,30,2.05,BR,1696028526
120,conceicao da barra,-18.5933,-39.7322,23.47,70,100,4.27,BR,1696028454
121,umarga,17.8333,76.6167,22.43,92,100,2.48,IN,1696028526
122,kulob,37.9145,69.783,16.42,44,40,5.0,TJ,1696028526
123,puduppatti,11.15,78.2167,25.1,75,93,2.66,IN,1696028526
124,anadyr,64.75,177.4833,6.28,86,75,4.0,RU,1696027973
125,east london,-33.0153,27.9116,20.68,65,98,2.12,ZA,1696027985
126,hell-ville,-13.4,48.2667,25.4,73,88,2.25,MG,1696028527
127,ambatolampy,-19.3833,47.4167,10.44,89,19,0.73,MG,1696028312
128,hamilton,39.1834,-84.5333,25.0,71,0,0.89,US,1696027914
129,oye-plage,50.9771,2.0428,13.92,72,93,3.46,FR,1696028527
130,cole harbour,44.6724,-63.4751,15.71,90,53,1.54,CA,1696028307
131,punta arenas,-53.15,-70.9167,9.06,57,0,3.6,CL,1696027962
132,udachny,66.4167,112.4,1.92,93,100,3.87,RU,1696027959
133,tafo,6.7345,-1.6127,22.78,96,100,1.21,GH,1696028527
134,puerto madryn,-42.7692,-65.0385,9.91,58,0,6.02,AR,1696028334
135,acarau,-2.8856,-40.12,25.49,80,100,7.85,BR,1696028044
136,mumford,5.2618,-0.759,25.34,89,84,3.58,GH,1696028527
137,keflavik,64.0049,-22.5624,7.24,81,0,2.06,IS,1696028009
138,freetown,8.484,-13.2299,26.56,87,96,2.25,SL,1696027977
139,kiknur,57.3034,47.2011,8.28,91,30,1.38,RU,1696028528
140,sinabang,2.4803,96.3801,26.2,84,96,3.28,ID,1696028528
141,nantucket,41.2835,-70.0995,17.08,99,100,6.69,US,1696028045
142,haiku-pauwela,20.9219,-156.3051,31.01,57,20,9.26,US,1696028126
143,qandala,11.472,49.8728,28.79,58,31,0.76,SO,1696028528
144,biloela,-24.4167,150.5,23.17,54,3,1.47,AU,1696028285
145,cabo san lucas,22.8909,-109.9124,35.34,60,6,5.63,MX,1696027891
146,troitsko-pechorsk,62.7084,56.1964,2.25,94,86,1.46,RU,1696028528
147,vadso,70.0744,29.7487,8.49,93,0,4.12,NO,1696027973
148,nar'yan-mar,67.6713,53.087,2.49,75,99,7.31,RU,1696027984
149,katsuren-haebaru,26.3369,127.8719,28.43,94,20,0.0,JP,1696028298
150,cronulla,-34.05,151.15,22.18,76,20,4.12,AU,1696028529
151,gelibolu,40.4103,26.6708,16.92,65,13,1.11,TR,1696028529
152,puerto lempira,15.2667,-83.7667,31.08,66,40,4.63,HN,1696028529
153,tolanaro,-25.0319,46.9987,23.04,88,20,7.2,MG,1696028040
154,tabou,4.423,-7.3528,25.12,88,34,2.38,CI,1696028321
155,victoria point,-27.5833,153.3,23.97,73,3,1.34,AU,1696028529
156,lobujya,27.95,86.8167,-0.86,85,100,0.89,NP,1696028529
157,wisconsin rapids,44.3836,-89.8174,21.96,68,0,2.57,US,1696028529
158,horta,38.5333,-28.6333,19.45,93,100,1.79,PT,1696028030
159,kalachinsk,55.0529,74.5751,8.66,75,60,2.13,RU,1696028530
160,jamestown,42.097,-79.2353,19.77,77,75,0.0,US,1696027964
161,kamloops,50.6665,-120.3192,13.55,62,75,2.57,CA,1696028406
162,mazara del vallo,37.6641,12.588,20.86,79,0,3.93,IT,1696028530
163,taltal,-25.4,-70.4833,16.34,77,24,2.54,CL,1696027999
164,igarka,67.4667,86.5833,-3.21,95,100,8.11,RU,1696028163
165,lompoc,34.6391,-120.4579,25.01,73,100,8.05,US,1696027965
166,kasongo-lunda,-6.4667,16.8167,24.07,77,87,0.32,CD,1696028531
167,menongue,-14.6585,17.691,20.52,37,71,1.24,AO,1696028285
168,tazovsky,67.4667,78.7,-2.56,82,15,7.76,RU,1696027993
169,yaring,6.8662,101.3689,25.37,86,45,1.87,TH,1696028531
170,tsimasham,27.0989,89.536,13.28,79,100,2.47,BT,1696028531
171,howard springs,-12.497,131.047,28.23,58,96,1.04,AU,1696028140
172,dingli,35.8614,14.3822,22.12,83,20,2.57,MT,1696028531
173,sao vicente,-23.9631,-46.3919,21.26,85,92,3.64,BR,1696028531
174,vyazemskiy,47.5378,134.7525,11.81,78,57,0.91,RU,1696028524
175,hirara,24.8,125.2833,28.15,89,75,4.63,JP,1696028531
176,tromso,69.6496,18.957,11.01,87,75,2.57,NO,1696028003
177,hammerfest,70.6634,23.6821,7.25,100,75,2.06,NO,1696028023
178,kitimat,54.0524,-128.6534,16.49,70,21,0.45,CA,1696028166
179,vorgashor,67.5833,63.95,-0.41,79,97,2.36,RU,1696027958
180,angaur state,6.906,134.13,28.21,82,52,7.87,PW,1696028532
181,santiago de cao,-7.9589,-79.2392,20.07,83,0,6.69,PE,1696028532
182,sassandra,4.95,-6.0833,24.4,94,26,2.33,CI,1696028532
183,whakatane,-37.9585,176.9854,13.62,84,98,3.13,NZ,1696028328
184,nchelenge,-9.3451,28.734,26.46,55,97,2.18,ZM,1696028281
185,saint-philippe,-21.3585,55.7679,20.77,76,42,3.0,RE,1696028132
186,soe,-9.8607,124.284,21.19,54,84,1.81,ID,1696028532
187,san patricio,28.017,-97.5169,33.98,54,19,6.97,US,1696027966
188,georgetown,5.4112,100.3354,27.75,95,20,1.03,MY,1696027829
189,bandarbeyla,9.4942,50.8122,26.59,82,95,9.17,SO,1696028533
190,dabakala,8.3667,-4.4333,23.61,88,97,1.43,CI,1696028533
191,buta,2.7858,24.73,22.36,94,92,0.79,CD,1696028149
192,le port,-20.9373,55.2919,22.98,90,0,3.55,RE,1696028533
193,hawaiian paradise park,19.5933,-154.9731,28.83,75,20,2.57,US,1696027965
194,kismayo,-0.3582,42.5454,25.64,84,10,6.22,SO,1696027994
195,aasiaat,68.7098,-52.8699,-0.86,89,96,1.89,GL,1696027975
196,sola,-13.8833,167.55,24.77,68,97,11.09,VU,1696028162
197,saldanha,-33.0117,17.9442,15.03,91,100,4.04,ZA,1696028036
198,saladas,-28.2538,-58.6259,18.6,62,19,4.2,AR,1696028534
199,yanykurgan,43.915,67.2481,15.48,45,23,2.5,KZ,1696028534
200,madang,-5.2246,145.7966,28.11,74,95,0.49,PG,1696028534
201,nadi,-17.8,177.4167,26.0,57,20,6.17,FJ,1696028032
202,jianshui,23.6363,102.8264,17.91,96,68,0.6,CN,1696028534
203,puerto santa,-8.9906,-78.6456,19.07,88,63,4.6,PE,1696028037
204,whitehorse,60.7161,-135.0538,8.94,86,75,3.09,CA,1696027958
205,orange,33.7,-117.7675,26.54,70,13,1.34,US,1696028399
206,iskateley,67.6803,53.1512,2.41,75,100,7.3,RU,1696027963
207,sydney,-33.8679,151.2073,22.97,80,20,4.12,AU,1696028171
208,derzhavinsk,51.1,66.3167,11.86,64,100,1.46,KZ,1696028534
209,djibo,14.1022,-1.6306,27.82,60,87,9.62,BF,1696028535
210,malaga,36.7202,-4.4203,22.63,81,75,0.51,ES,1696028436
211,yamada,39.4667,141.95,20.42,65,62,2.89,JP,1696028324
212,gornyatskiy,48.2915,40.9575,15.36,37,0,2.58,RU,1696028535
213,tura,25.5198,90.2201,23.73,95,98,1.9,IN,1696027969
214,severo-yeniseyskiy,60.3725,93.0408,3.76,94,99,3.98,RU,1696027982
215,mil'kovo,55.6078,37.7956,13.52,76,67,2.6,RU,1696028535
216,colonia,50.9333,6.95,14.36,86,20,2.06,DE,1696028007
217,longyearbyen,78.2186,15.6401,-0.09,69,75,3.09,SJ,1696027964
218,cherven bryag,43.2667,24.1,16.37,45,63,1.31,BG,1696028536
219,port lincoln,-34.7333,135.8667,22.54,29,10,8.07,AU,1696027989
220,brigantine,39.4101,-74.3646,17.3,97,100,4.12,US,1696028536
221,masterton,-40.9597,175.6575,8.27,96,100,5.44,NZ,1696027988
222,funtua,11.5233,7.3081,21.46,88,46,3.22,NG,1696028536
223,bandon,51.7469,-8.7425,10.77,94,100,1.63,IE,1696028536
224,puerto baquerizo moreno,-0.9,-89.6,25.55,73,75,4.63,EC,1696027809
225,frontera,26.9333,-101.45,34.38,34,1,2.24,MX,1696028537
226,raja,8.4596,25.678,21.46,93,29,0.98,SS,1696028538
227,ola,59.5833,151.2833,6.59,85,100,1.74,RU,1696027956
228,queenstown,-31.8976,26.8753,17.77,27,93,3.55,ZA,1696028015
229,mahina,-17.5065,-149.489,27.87,69,20,3.6,PF,1696027996
230,zag,46.9441,99.165,-1.37,60,44,1.45,MN,1696028539
231,bela vista,-22.1089,-56.5211,27.39,43,22,2.57,BR,1696028539
232,san antonio de pale,-1.4014,5.6325,24.71,84,38,4.0,GQ,1696027992
233,newberry,34.2746,-81.6187,26.68,71,4,1.99,US,1696028539
234,thayetmyo,19.3167,95.1833,23.5,98,100,0.4,MM,1696028539
235,broken hill,-31.95,141.4333,25.15,21,0,4.55,AU,1696028030
236,christchurch,-43.5333,172.6333,11.06,53,20,11.83,NZ,1696028198
237,vorkuta,67.5,64.0,-0.35,79,96,2.38,RU,1696027979
238,xilin hot,43.9667,116.0333,5.26,69,2,1.43,CN,1696027981
239,zeribet el oued,34.6828,6.5111,26.8,29,23,3.64,DZ,1696028539
240,amarillo,35.222,-101.8313,33.46,28,0,9.77,US,1696028476
241,marsh harbour,26.5412,-77.0636,28.82,76,82,3.97,BS,1696028539
242,tofol,5.3248,163.0078,28.88,84,100,2.57,FM,1696028031
243,zeya,53.75,127.2667,6.31,74,93,2.62,RU,1696028330
244,uturoa,-16.7333,-151.4333,25.72,78,64,8.03,PF,1696028031
245,vernon,50.2581,-119.2691,15.34,65,100,0.51,CA,1696027996
246,dalandzadgad,43.5708,104.425,8.35,28,0,3.05,MN,1696028160
247,bykovo,55.6361,38.0803,15.71,100,68,1.0,RU,1696028541
248,afaahiti,-17.75,-149.2833,26.93,86,32,8.34,PF,1696028028
249,sittwe,20.15,92.9,25.81,90,100,4.72,MM,1696028284
250,touros,-5.1989,-35.4608,25.09,76,91,7.55,BR,1696027682
251,cabedelo,-6.9811,-34.8339,25.37,71,85,6.61,BR,1696028281
252,aitape,-3.1374,142.3475,26.8,81,97,1.05,PG,1696028544
253,chegdomyn,51.1167,133.0167,7.21,91,100,0.06,RU,1696028546
254,tarnow,50.0138,20.987,13.73,67,3,2.24,PL,1696028549
255,aldan,58.6031,125.3894,3.04,91,98,0.9,RU,1696028549
256,bharatpur,27.2167,77.4833,25.76,44,20,1.92,IN,1696028550
257,limbe,4.0242,9.2149,24.56,86,97,1.39,CM,1696028550
258,malango,-2.9627,119.9001,20.48,90,66,0.27,ID,1696028550
259,bredy,52.4153,60.3411,10.92,73,99,2.11,RU,1696028551
260,jayapura,-2.5333,140.7,27.66,68,39,1.45,ID,1696028157
261,perugorria,-29.3413,-58.6106,16.19,73,21,3.71,AR,1696028551
262,stornoway,58.2093,-6.3865,10.05,84,40,3.6,GB,1696028552
263,kapuskasing,49.4169,-82.4331,23.0,38,75,4.12,CA,1696027967
264,yuzhno-kurilsk,44.0306,145.8556,15.8,79,73,3.03,RU,1696028020
265,topolobampo,25.6,-109.05,33.95,49,20,7.2,MX,1696028552
266,strelka,58.0728,93.0344,6.54,96,99,2.15,RU,1696028290
267,dudinka,69.4058,86.1778,-3.54,93,93,8.85,RU,1696027968
268,ambanja,-13.6833,48.45,23.13,84,82,1.03,MG,1696028553
269,alaghsas,17.0187,8.0168,32.97,16,22,4.58,NE,1696028024
270,college,64.8569,-147.8028,6.15,55,75,0.45,US,1696027908
271,chonchi,-42.6128,-73.8092,12.56,88,7,0.5,CL,1696027699
272,san ignacio,17.1561,-89.0714,28.08,89,40,3.09,BZ,1696028553
273,santana,-0.0583,-51.1817,31.1,58,20,4.12,BR,1696028326
274,kruisfontein,-34.0033,24.7314,14.94,58,88,1.09,ZA,1696028030
